id_port,Pathways_deg,Pathways_close_unw,Pathways_close_dur
2833,132,1.8833,14.1607
2369,38,2.5034,30.46
6196,9,2.3638,14.3878
6514,104,1.9336,13.6253
207,97,2.0526,15.0544
484,29,2.5423,12.567
1413,18,2.4966,12.5723
5581,138,1.8947,14.559
1697,347,1.627,12.4071
5625,27,2.3387,14.5107
3610,256,1.7094,14.8688
2605,67,2.2128,14.1329
4404,28,2.222,14.3832
2220,27,2.5469,14.9644
3766,11,2.3913,13.213
2842,283,1.6934,14.4467
1872,62,2.2174,15.0739
3458,340,1.627,10.6787
1847,138,1.9611,12.7367
4787,11,3.0892,14.4807
4747,100,2.1007,15.6537
4244,18,2.4371,13.3847
1286,31,2.5126,12.7185
1734,7,3.087,16.4356
238,44,2.1144,18.324
4851,43,2.4142,12.4375
4529,39,2.3204,14.5281
5345,9,2.4554,16.2579
4564,50,2.0183,27.0893
5196,84,2.1762,14.2806
5450,16,2.373,14.1605
3983,132,1.9474,14.4613
4279,7,2.4989,15.1911
4752,50,2.389,13.0122
2815,183,1.865,14.7052
5676,36,2.3455,14.5647
4067,96,1.9588,22.8312
2821,26,2.2769,13.5331
1747,155,1.8741,12.7452
2101,298,1.6957,11.8247
5724,55,2.0526,12.5643
426,153,1.8741,10.4596
3767,73,1.9817,12.35
1392,25,2.2746,14.0981
1165,469,1.4485,13.4168
4611,113,1.8879,11.2806
2200,144,1.8238,17.7188
6512,319,1.6362,14.4394
3974,71,2.0206,13.934
306,22,2.3272,14.4536
5629,62,2.0618,19.2556
2831,80,2.0801,12.8644
5363,55,2.2677,14.6239
3315,17,2.3318,14.4479
639,41,2.5309,14.0111
686,159,1.8696,13.9559
1988,25,2.3593,13.8226
6323,7,2.4554,16.657
5908,5,3.087,13.0287
1593,50,2.2128,18.1847
2088,18,2.357,14.0464
1708,30,2.3249,13.4676
2207,47,2.2975,17.5488
4844,42,2.2609,12.7952
3595,135,1.9588,13.2959
8092,63,2.2288,12.1735
2417,18,2.3181,16.4263
4624,79,2.0229,13.1147
889,203,1.8535,11.7055
941,250,1.7551,12.238
3521,223,1.7757,11.6773
732,74,2.1716,11.2695
1503,212,1.8032,15.2206
5774,12,2.4256,15.3551
4542,13,2.3936,12.4553
819,45,2.4416,11.7309
5152,51,2.2471,14.8938
2940,40,2.5629,17.479
1831,63,2.2677,13.0984
4403,18,2.3776,13.6373
5290,58,2.1693,12.0588
837,31,2.3432,14.0084
5608,17,2.5469,14.8
5493,171,1.8307,14.2244
2151,212,1.7597,13.8596
3725,253,1.762,13.7568
5891,126,1.913,10.934
1276,30,2.4897,13.1907
3560,6,2.405,14.4285
2204,100,2.0847,14.9974
7606,123,1.8879,23.2644
4761,59,2.1625,16.0147
3077,148,1.8558,15.0447
2729,179,1.8238,15.9772
283,20,2.5011,13.1371
3867,55,2.2357,13.1701
9581,137,1.897,14.6714
4410,87,2.2494,14.4141
1698,11,2.508,17.2864
1219,157,1.8902,14.6093
2999,72,2.0114,14.9296
4070,82,2.032,11.6983
5643,50,2.1739,16.9105
5865,4,2.4828,13.5657
4488,4,3.0183,21.2229
828,54,2.2632,13.7303
4588,22,2.3638,16.3622
1080,132,1.9108,11.6494
9826,22,2.5263,12.3579
5393,50,2.3341,15.1216
3125,20,2.3661,13.809
5757,70,2.2334,12.9557
5146,79,2.2609,14.7234
1600,205,1.778,23.0545
4984,15,2.6888,12.5006
394,68,2.1533,15.9167
903,50,2.1602,12.5895
