id_port,name,freq,SpaceP_deg,SpaceP_close_unw,SpaceP_close_dur,travel_time_c0,travel_time_c2,nb_reachable_c0,nb_reachable_c2
2445,Jakarta,15.0833,213,2.0,17.3228,8.8214,18.0304,436.9136,423.9259
3434,Arrecife,0.8417,67,2.1968,16.4569,13.9583,25.1855,433.2469,394.6173
3381,New Orleans,1.4083,170,1.8719,14.7569,13.0413,24.1417,436.4198,409.2593
3978,Kaliningrad,0.525,42,2.3021,18.0291,14.9913,26.131,433.4815,382.6049
5889,Sepetiba,2.325,157,1.849,20.0745,13.6728,23.0374,435.3457,416.0123
5263,Tacoma,3.2,130,1.9359,18.1621,10.7453,22.6918,436.4938,396.8642
5477,Malaga,1.175,121,1.9428,15.1867,12.6003,23.1442,434.6914,407.8642
1231,New Mangalore,0.4167,43,2.2929,16.8881,15.7288,29.5937,434.9506,378.1235
611,Makassar,2.3167,33,2.4279,21.5877,10.6328,21.9578,435.9753,405.3086
3915,Bilbao,2.875,189,1.8879,14.9659,12.4435,21.0603,435.9259,414.1975
1142,Torshavn,0.9,20,2.3455,19.0808,16.5331,25.6143,407.8148,346.8889
3662,Mombasa,2.3417,122,1.9268,23.2772,16.887,25.8543,430.3333,388.037
2978,Colombo,15.5833,384,1.5606,17.4862,9.9698,18.5386,436.7654,420.9136
2131,Colon(PAN),2.5417,230,1.7254,14.9665,11.3861,21.2094,436.679,411.963
3415,Lianyungang,0.75,90,2.0366,15.638,10.5401,22.9576,435.5802,394.3951
4289,Leghorn,4.425,289,1.6934,15.2491,11.6816,20.7483,434.4568,409.9753
8839,Sendai-Shiogama,0.8667,68,2.1899,18.7038,12.156,23.6152,436.1358,398.2469
3035,Mishima-Kawanoe,0.8667,12,2.3799,16.7914,10.7571,24.2249,436.9012,399.6667
5157,Douala,0.675,140,1.8764,22.6041,18.0221,30.097,428.8765,377.963
5554,Ashdod,4.6083,180,1.8307,17.1725,12.531,22.1855,433.3951,405.963
298,Kingston(JAM),6.7,224,1.7597,14.4485,10.6373,19.1679,436.9259,422.3086
5403,Fangcheng,0.5167,18,2.2746,15.8667,10.3884,24.4823,435.6543,388.3457
1304,Szczecin,0.5,65,2.0252,17.7678,17.1299,29.0793,434.679,394.9877
166,Marseilles,1.2,129,2.0595,15.4201,12.8858,23.1948,431.358,395.2346
1524,Bintulu,1.3083,58,2.2151,18.7762,12.4929,23.688,436.5185,402.2222
3592,Naples,3.6333,263,1.7368,14.4614,12.05,20.9158,434.1975,409.358
3624,Napier,1.75,121,1.8535,22.759,17.9793,27.5983,419.4074,376.2963
1817,Conakry,0.5333,70,2.1419,19.1238,18.343,28.2549,425.8025,364.7654
4345,Koper,2.4417,159,1.8398,16.119,13.6328,23.7541,432.5926,400.7654
3501,Songkhla,1.425,28,2.2746,16.1519,10.445,20.2438,436.8642,412.2222
2266,Lome,1.9167,170,1.7712,18.2836,13.5156,22.8409,434.6173,401.5432
3144,Salvador,2.8833,184,1.8215,20.1141,14.239,23.6251,435.284,419.1235
818,Vostochnyy,1.6667,31,2.2632,20.0488,12.7918,23.4874,435.0617,394.3951
722,Pyeongtaek,2.3417,98,1.9199,16.3739,9.3048,20.3588,436.8889,410.9506
6166,Jawaharlal Nehru,10.45,341,1.6247,18.1802,10.5931,18.999,436.7037,420.0494
4868,Bitung,1.0167,30,2.2105,21.088,13.0169,25.1139,436.3333,387.6173
4592,Semarang,3.0333,85,2.1876,19.7021,10.3476,20.1288,436.7284,417.2099
4258,Volos,0.5,73,2.1579,16.8049,16.0823,28.5528,432.3827,377.0247
4714,Larvik,0.8833,40,2.286,16.652,15.0053,23.5146,427.4198,371.5185
821,Piraeus,5.15,271,1.6957,15.1986,12.9707,21.9218,434.9383,407.6914
808,Naoetsu,0.8,25,2.3684,18.2753,10.8546,22.8504,436.7407,400.3827
5522,Constantza,3.3167,208,1.7918,16.7148,14.3238,23.5869,433.1235,404.4198
1658,Rio Haina,2.875,167,1.8741,16.9251,11.5862,21.6555,436.8765,417.963
6464,Pipavav,1.8083,93,1.9428,16.5571,12.5024,22.6251,434.8765,410.4938
2775,Rio Grande(BRA),5.4333,256,1.6911,20.5624,13.3884,23.4711,435.3827,414.2099
2241,Poti,0.7917,38,2.3913,17.317,17.0358,27.5792,431.0988,373.2593
944,Vladivostok,1.8417,32,2.2632,18.7746,11.2988,22.429,436.7654,400.0494
5793,Muara Port,0.95,42,2.2449,22.1679,14.3829,25.2294,435.1111,397.2099
185,Jebel Ali,22.5917,347,1.6339,15.4745,10.0677,19.062,436.8025,422.6296
603,Rio de Janeiro,4.0333,257,1.6888,16.13,13.1835,22.1259,435.4815,419.679
5438,Vitoria,1.6417,133,1.9314,20.7627,15.4033,25.3812,434.6914,410.9012
2539,Tomakomai,2.0583,67,2.222,18.3393,11.3335,22.5821,436.6914,401.6543
2756,Copenhagen,1.9333,64,2.1854,18.3234,13.1212,22.5005,435.2963,411.3827
4620,Auckland,1.9917,114,1.9451,20.7608,16.972,26.0436,427.1728,391.2593
5096,Visakhapatnam,0.9167,43,2.2265,19.6925,12.9529,23.8516,432.7901,401.8519
3169,Kuantan,2.6083,116,2.0847,18.1967,9.1124,18.893,436.9259,417.9753
2685,Augusta,0.4583,116,1.9634,16.8313,15.691,27.6387,425.9259,371.7778
4899,Miami,3.9667,218,1.7826,14.7626,11.586,20.1199,436.7901,423.5062
1965,Suva,0.5583,55,2.1854,25.2209,21.297,31.1435,403.8889,346.5679
3164,Hong Kong,82.3583,549,1.3638,17.3993,8.3398,16.5527,437.0,424.9259
8956,Sohar,1.2,63,2.1808,15.3448,12.0467,23.1049,436.7037,407.4691
4646,Dublin,5.2333,65,2.2403,15.847,12.5178,21.2266,435.9506,414.3333
4604,Jeddah,10.45,338,1.6156,15.837,11.1604,19.0969,436.4938,422.7531
4779,Kuching,1.6583,26,2.3158,19.6126,11.8043,21.5833,436.2346,412.7531
5760,Gdansk,3.225,104,2.0664,17.2665,13.2007,22.4522,435.1481,407.0988
3943,Corinto,0.7,64,2.1007,17.1568,15.9468,27.4772,422.6667,380.4815
5802,Tokyo,26.9833,302,1.6453,16.3055,8.4552,19.0021,437.0,415.8148
2994,Tokuyama,2.15,85,2.1625,17.3639,9.3109,20.7771,436.9877,407.2716
2275,Cork,1.5333,34,2.3021,16.6323,13.6362,23.8449,435.358,410.6296
